UniversityName,Icon,WorldRanking,Description,RegionId,CountryId,Address,AcademicCalendar,AcademicCalendarLink,GpaRequirement,NoOfPlacesInSem1,NoOfPlacesInSem2,IGpaTenPercentile,IGpaNinetyPercentile,Accomodation,Insurance,Visa,HostUniversityWebsite,HostUniversityExchangeWebpage,CourseCatalogueLink,CreditLoadMin,CreditLoadMax,CreditTransferRate,ApplicationDeadlineToHostUni
National University of Singapore (NUS),https://www.nus.edu.sg/images/default-source/identity-images/NUS_logo_full-horizontal.jpg,11,"A leading global university centred in Asia, the National University of Singapore (NUS) is Singapore’s flagship university, which offers a global approach to education and research, with a focus on Asian perspectives and expertise. NUS has 17 faculties and schools across three campuses. Its transformative education includes a broad-based curriculum underscored by multi-disciplinary courses and cross-faculty enrichment. Over 38,000 students from 100 countries enrich the community with their diverse social and cultural perspectives. NUS also strives to create a supportive and innovative environment to promote creative enterprise within its community.",1,SGP,"21 Lower Kent Ridge Rd, Singapore 119077","Term 1: Early August - Early December /n
Term 2: Early January - Early May /n
Term 3: N/A /n",https://www.nus.edu.sg/registrar/calendar,3.3,null,null,null,null,TRUE,null,null,https://www.nus.edu.sg/,https://www.nus.edu.sg/gro/global-programmes/student-exchange/incoming-exchangers,https://www.nus.edu.sg/registrar/docs/info/prospective-students---non-graduating/ng-modules.pdf,1,6.5,4,Not Required
Nanyang Technological University,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Nanyang_Technological_University_coat_of_arms_vector.svg/1200px-Nanyang_Technological_University_coat_of_arms_vector.svg.png,46,"A great global university founded on science and technology, nurturing leaders and creating societal impact through interdisciplinary education and research.",1,SGP,"50 Nanyang Ave, 639798","Term 1: Early August - Early December /n
Term 2: Early January - Early May /n
Term 3: N/A /n",https://www.ntu.edu.sg/admissions/matriculation/academic-calendars,3.3,30,30,3.7,3.9,TRUE,null,null,https://www.ntu.edu.sg/,https://www.ntu.edu.sg/education/student-exchanges,https://wis.ntu.edu.sg/webexe/owa/aus_subj_cont.main,,,,
Singapore Managment University,https://www.smu.edu.sg/themes/smubase_4g/svg/logo-d-smu.svg,511,"A premier university in Asia, the Singapore Management University (SMU) is internationally recognised for its world-class research and distinguished teaching. Established in 2000, SMU’s mission is to generate leading-edge research with global impact and to produce broad-based, creative and entrepreneurial leaders for the knowledge-based economy. SMU’s education is known for its highly interactive, collaborative and project-based approach to learning",1,SGP,"81 Victoria St, Singapore 188065","Term 1: Early August - Early December /n
Term 2: Early January - Early May /n
Term 3: N/A /n",https://inet.smu.edu.sg/sites/courses/Documents/Current%20or%20Future%20Academic%20Calendar/2022-2023/2022-23.pdf,3.3,30,30,3.7,3.9,TRUE,null,null,https://www.smu.edu.sg/,https://www.smu.edu.sg/global/student-programmes,https://inet.smu.edu.sg/sites/courses/Pages/Course-Offerings.aspx,,,1,2022-07-02 15:21:38.826 +0800
