DegreeId,UniversityName
BSc (IS),Singapore Management University
BSc (CS),Singapore Management University
BSc (SMT),Singapore Management University
BSc (C&L),Singapore Management University
BAcc,Singapore Management University
BBM,Singapore Management University
LLB,Singapore Management University
BSocSc,Singapore Management University
JD,Singapore Management University
BSc (Econ),Singapore Management University
