ModuleId,UniversityName,ModuleName,LinkToCourseOutline,Description,Faculty,AY,Semester,Credits,Difficulty,Popularity
EN3231,National University of Singapore (NUS),American Literature I,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
EN3276,National University of Singapore (NUS),"Literature, Media and Theory",https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
EU1101E,National University of Singapore (NUS),Making of Modern Europe,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GE1101E,National University of Singapore (NUS),Geographical Journeys: Exploring World Environments,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GE2215,National University of Singapore (NUS),Introduction to GIS,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GE2231,National University of Singapore (NUS),Living Space: Introducing Social and Cultural Geography,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GE3204,National University of Singapore (NUS),Cities and Regions: Planning for Change,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GE3235,National University of Singapore (NUS),Geographies of Development,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GE3236,National University of Singapore (NUS),Transport and Communications,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GE3241,National University of Singapore (NUS),Geographies of Social Life,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GE3250,National University of Singapore (NUS),Nature and Society,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GE3251,National University of Singapore (NUS),Southeast Asia,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GE3253,National University of Singapore (NUS),Weather and Climate,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GE3254,National University of Singapore (NUS),Energy Futures: Environment and Sustainability,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GE3255,National University of Singapore (NUS),"Aquatic, Riparian and Coastal Systems",https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GEC1005,National University of Singapore (NUS),Cultural Borrowing: Japan and China,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GEC1006,National University of Singapore (NUS),Understanding Consumption,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GEC1008,National University of Singapore (NUS),Exploring Chinese Cinema: Shanghai‐Hong Kong‐Singapore,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GEC1028,National University of Singapore (NUS),Luck,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GEC1029,National University of Singapore (NUS),Worlds of Football,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GEC1030,National University of Singapore (NUS),Metropolis: The City in World History,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GEC1034,National University of Singapore (NUS),Understanding the Changing Global Economic Landscape,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GEH1053,National University of Singapore (NUS),Film Art and Human Concerns,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GEH1054,National University of Singapore (NUS),Names as Markers of Socio-cultural Identity,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
GEH1062,National University of Singapore (NUS),Ghosts and Spirits in Society and Culture,https://luminus.nus.edu.sg,Sample Description,Arts and Social Sciences,22/23,1,1,4,3
