DegreeId,DegreeName
BSc (IS),Bachelor of Science (Information Systems)
BSc (CS),Bachelor of Science (Computer Science)
BSc (SMT),Bachelor of Science (Smart City Management)
BSc (C&L),Bachelor of Science (Computing and Law)
BAcc,Bachelor of Accounting
BBM,Bachelor of Business Managment
LLB,Bachelor of Law
BSocSc,Bachelor of Social Science
JD,Juris Doctor Law Programme
BSc (Econ),Bachelor of Science (Economics)
